Feature,Beta,AbsBeta
CallDropRate,3.141714282310982,3.141714282310982
TicketResolutionTime,1.9872284576586714,1.9872284576586714
RechargeDelayDays,1.8051011697963664,1.8051011697963664
ComplaintCount,1.1758747802684693,1.1758747802684693
SentimentScore,-1.001995679530309,1.001995679530309
MonthlyCharges,0.8090019006655956,0.8090019006655956
CommentCategory_Competition,0.5316164869437399,0.5316164869437399
NPSRating,-0.3939954160727598,0.3939954160727598
CommentCategory_Network,0.37009404248140265,0.37009404248140265
Sentiment_Positive,-0.363142376938603,0.363142376938603
PhoneService,0.36261517314015046,0.36261517314015046
InternetService_No,-0.3620437198497139,0.3620437198497139
tenure,-0.34645753738605717,0.34645753738605717
TechSupport,-0.31473391790818145,0.31473391790818145
L1Driver_Digital Experience,-0.30344982837727164,0.30344982837727164
StreamingTV,-0.30015767667896637,0.30015767667896637
StreamingMovies,-0.25204480975355603,0.25204480975355603
CustomerSegment_Premium,-0.23850961977169635,0.23850961977169635
CommentCategory_Billing,-0.2335611445506732,0.2335611445506732
PlanType_Premium,-0.2210028813292381,0.2210028813292381
gender_Male,-0.2143458213961526,0.2143458213961526
L1Driver_Onboarding / Installation,-0.1965476895530529,0.1965476895530529
Contract_Two year,-0.1819758735470896,0.1819758735470896
NPSCategory_Passive,-0.1615996533367662,0.1615996533367662
CommentCategory_Installation,0.15717387893339993,0.15717387893339993
DeviceProtection,-0.1551800577768275,0.1551800577768275
OnlineBackup,-0.1433198780335376,0.1433198780335376
PlanType_Unlimited,-0.14323873008192942,0.14323873008192942
PaymentMethod_Mailed check,0.13626353354943577,0.13626353354943577
CommentCategory_Pricing,0.13473051607036776,0.13473051607036776
PaymentMethod_Electronic check,0.1241928347672194,0.1241928347672194
TotalCharges,-0.11898249683418108,0.11898249683418108
CustomerSegment_Family,-0.11578913598578584,0.11578913598578584
CommentCategory_Support,0.1154549392196775,0.1154549392196775
PlanType_Standard,-0.10109913608761305,0.10109913608761305
PaperlessBilling,0.10067071399645125,0.10067071399645125
L1Driver_Competitor Offer,-0.09591709512664778,0.09591709512664778
PaymentMethod_Credit card (automatic),-0.0935462593056901,0.0935462593056901
OnlineSecurity,-0.09251486560058127,0.09251486560058127
L1Driver_Network Issues,-0.08402999482194227,0.08402999482194227
CommentCategory_Relocation,-0.08323255797358972,0.08323255797358972
CustomerSegment_Mass,0.08141865315018423,0.08141865315018423
Region_North,0.07480717233714322,0.07480717233714322
L1Driver_Customer Support,-0.0684190206453599,0.0684190206453599
Partner,0.06822997206298351,0.06822997206298351
MultipleLines,0.06817124914984163,0.06817124914984163
PlanType_Family,0.06657432373144462,0.06657432373144462
L1Driver_Service Quality,-0.06001084784130792,0.06001084784130792
CustomerSegment_Business-lite,-0.05031081767926342,0.05031081767926342
Region_South,0.04724122248712977,0.04724122248712977
SeniorCitizen,0.04336242723587393,0.04336242723587393
Sentiment_Neutral,-0.03556892314915068,0.03556892314915068
CityTier_Tier 3,0.03238107088962893,0.03238107088962893
Region_East,0.031815412115988075,0.031815412115988075
CityTier_Tier 2,0.029670220256445466,0.029670220256445466
NetworkType_5G,0.02783914374475078,0.02783914374475078
NetworkType_Fiber,-0.016205924405856484,0.016205924405856484
Contract_One year,-0.01619690684194096,0.01619690684194096
Region_West,0.01437416901520527,0.01437416901520527
NetworkType_DSL,-0.013603185734754575,0.013603185734754575
L1Driver_Pricing,0.011116795056734331,0.011116795056734331
Dependents,-0.007718236901330482,0.007718236901330482
NetworkType_Cable,-0.0026792753720803874,0.0026792753720803874
L1Driver_Relocation,-0.0021197641889202216,0.0021197641889202216
InternetService_Fiber optic,0.0017249156656556942,0.0017249156656556942
NPSCategory_Promoter,0.0009504347579097341,0.0009504347579097341
